Date,Flow,Local,Mainland,Others
8/17/2021,Arrival,3775,255,42
8/17/2021,Departure,2603,115,45
8/18/2021,Arrival,5048,234,67
8/18/2021,Departure,3709,124,22
8/19/2021,Arrival,4154,260,98
8/19/2021,Departure,2480,113,33
8/20/2021,Arrival,5811,258,68
8/20/2021,Departure,4141,123,59
8/21/2021,Arrival,3452,234,36
8/21/2021,Departure,2460,105,23
8/22/2021,Arrival,6022,329,30
8/22/2021,Departure,3434,83,25
8/23/2021,Arrival,4064,297,34
8/23/2021,Departure,2197,98,36
8/24/2021,Arrival,3819,329,34
8/24/2021,Departure,2746,112,34
8/25/2021,Arrival,5494,318,39
8/25/2021,Departure,3736,181,31
8/26/2021,Arrival,3855,313,29
8/26/2021,Departure,2403,92,32
8/27/2021,Arrival,5499,255,51
8/27/2021,Departure,4314,116,40
8/28/2021,Arrival,4724,311,44
8/28/2021,Departure,3118,133,38
8/29/2021,Arrival,6460,345,36
8/29/2021,Departure,3781,108,41
8/30/2021,Arrival,4516,457,26
8/30/2021,Departure,2237,93,38
8/31/2021,Arrival,4641,379,50
8/31/2021,Departure,2778,141,41
9/1/2021,Arrival,5328,358,34
9/1/2021,Departure,3993,145,49
9/2/2021,Arrival,2909,217,40
9/2/2021,Departure,2791,129,36
9/3/2021,Arrival,3721,188,47
9/3/2021,Departure,4507,150,52
9/4/2021,Arrival,2761,228,43
9/4/2021,Departure,3175,129,30
9/5/2021,Arrival,4710,285,43
9/5/2021,Departure,3811,151,46
9/6/2021,Arrival,1795,169,28
9/6/2021,Departure,2498,166,30
9/7/2021,Arrival,2012,173,37
9/7/2021,Departure,2849,146,49
9/8/2021,Arrival,2981,130,35
9/8/2021,Departure,3433,110,36
9/9/2021,Arrival,1760,120,55
9/9/2021,Departure,2119,96,31
9/10/2021,Arrival,3638,132,61
9/10/2021,Departure,3997,111,58
9/11/2021,Arrival,2084,142,39
9/11/2021,Departure,2500,117,40
9/12/2021,Arrival,3810,106,39
9/12/2021,Departure,3010,114,47
9/13/2021,Arrival,1575,68,32
9/13/2021,Departure,1537,110,28
9/14/2021,Arrival,1898,54,44
9/14/2021,Departure,2030,117,60
9/15/2021,Arrival,3083,279,53
9/15/2021,Departure,4031,118,47
9/16/2021,Arrival,2243,264,67
9/16/2021,Departure,2192,98,46
9/17/2021,Arrival,3773,275,49
9/17/2021,Departure,4208,99,58
9/18/2021,Arrival,2830,336,60
9/18/2021,Departure,2675,127,40
9/19/2021,Arrival,3853,328,48
9/19/2021,Departure,3167,99,38
9/20/2021,Arrival,1562,227,33
9/20/2021,Departure,1264,91,33
9/21/2021,Arrival,1425,125,50
9/21/2021,Departure,1517,89,36
9/22/2021,Arrival,3033,230,57
9/22/2021,Departure,3986,195,48
9/23/2021,Arrival,1979,217,66
9/23/2021,Departure,2500,169,41
9/24/2021,Arrival,3737,243,54
9/24/2021,Departure,4498,200,65
9/25/2021,Arrival,2067,280,70
9/25/2021,Departure,2576,177,47
9/26/2021,Arrival,3958,238,53
9/26/2021,Departure,3987,209,55
9/27/2021,Arrival,1604,162,37
9/27/2021,Departure,1757,134,29
9/28/2021,Arrival,2239,239,60
9/28/2021,Departure,2502,162,57
9/29/2021,Arrival,3629,273,44
